A,B,O,bond_angle_a,bond_angle_c,cbm_diff,cbm_hse,cbm_k_pbe,cbm_pbe,gap_diff,gap_hse,gap_pbe,material,vbm_diff,vbm_hse,vbm_k_pbe,vbm_pbe
Ag,As,O,151.52676229589338,153.80576940785437,-0.8818999999999999,5.2483,14.0,6.1302,0.10550000000000016,0.09020000000000028,-0.01529999999999987,AgAsO,-0.9874,5.1581,10.0,6.1455
Ag,P,O,146.4887890994169,157.9080734296264,0.28969999999999985,6.51,1.0,6.2203,1.4103000000000003,1.4348999999999998,0.024599999999999508,AgPO,-1.1206000000000005,5.0751,5.0,6.1957
Ag,Sb,O,146.91952579876772,153.38554074581498,-0.4153000000000002,6.2744,2.0,6.6897,0.6640000000000006,0.6580000000000004,-0.006000000000000227,AgSbO,-1.0793000000000008,5.6164,13.0,6.6957
Au,Sb,O,143.7495955454835,152.38918962076445,-0.7736000000000001,6.2752,3.0,7.0488,0.04750000000000032,-0.06559999999999988,-0.1131000000000002,AuSbO,-0.8211000000000004,6.3408,29.0,7.1619
Ba,Ge,O,179.98523273992907,179.99175113425244,-0.3449,3.6174,1.0,3.9623,0.7786,0.7786,0.0,BaGeO,-1.1235,2.8388,1.0,3.9623
Ba,Hf,O,179.9325961000694,179.92374711697937,0.6774000000000004,6.5574,1.0,5.88,1.6117000000000004,5.1143,3.5026,BaHfO,-0.9343,1.4431,1.0,2.3774
Ba,Ti,O,179.97301164303218,179.9797912820749,0.5307000000000004,5.3516,1.0,4.8209,1.4495000000000005,3.1467000000000005,1.6972,BaTiO,-0.9188,2.2049,1.0,3.1237
Ba,Zr,O,173.791493065898,175.59199526136658,0.6904000000000003,7.4518,1.0,6.7614,1.5881000000000007,4.732800000000001,3.1447000000000003,BaZrO,-0.8976999999999999,2.719,1.0,3.6167
Be,Ge,O,135.29100279418603,133.38884086415734,0.6457999999999995,7.6827,1.0,7.0369,1.9281999999999997,4.887499999999998,2.9593,BeGeO,-1.2824000000000004,2.7952,2.0,4.0776
Be,Hf,O,134.00248878611254,129.05071897491396,0.7392000000000003,7.3399,1.0,6.6007,1.7967000000000004,6.3826,4.5859,BeHfO,-1.0575,0.9573,1.0,2.0148
Be,Si,O,138.29632662823067,138.60959192438614,0.7768000000000015,12.0157,1.0,11.2389,2.0867000000000013,7.756900000000001,5.6702,BeSiO,-1.3098999999999998,4.2588,1.0,5.5687
Be,Sn,O,133.2835068392533,127.04115169956602,0.5861000000000001,7.4258,1.0,6.8397,1.8281,4.1945,2.3664,BeSnO,-1.242,3.2313,2.0,4.4733
Be,Ti,O,135.6354489563778,131.44473942003478,0.6645000000000003,5.7934,1.0,5.1289,1.5875000000000004,3.8638,2.2763,BeTiO,-0.9229999999999998,1.9296,1.0,2.8526
